datetime,pm10,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m
2025-11-07 12:00:00,22.464,9.6,72,0.0,7.8
2025-11-07 13:00:00,21.473,10.1,69,0.0,5.2
2025-11-07 14:00:00,24.344,10.0,69,0.0,6.5
2025-11-07 15:00:00,22.857,9.3,69,0.0,8.6
2025-11-07 16:00:00,22.634,7.7,76,0.0,7.5
2025-11-07 17:00:00,24.094,6.2,80,0.0,9.3
2025-11-07 18:00:00,25.781,5.4,83,0.0,8.1
2025-11-07 19:00:00,26.152,4.2,89,0.0,4.8
2025-11-07 20:00:00,32.032,2.9,93,0.0,3.7
2025-11-08 01:00:00,37.135,1.5,92,0.0,2.3
2025-11-08 02:00:00,40.266,0.6,95,0.0,4.2
2025-11-08 03:00:00,39.454,0.3,98,0.0,5.0
2025-11-08 04:00:00,32.58,0.2,99,0.0,4.8
2025-11-08 05:00:00,30.481,0.2,99,0.0,4.6
2025-11-08 06:00:00,30.247,-0.2,99,0.0,4.4
2025-11-08 07:00:00,30.8,0.2,100,0.0,4.2
2025-11-08 08:00:00,26.847,0.9,100,0.0,5.7
2025-11-08 09:00:00,24.951,3.2,98,0.0,4.8
2025-11-08 10:00:00,26.903,5.1,90,0.0,5.3
2025-11-08 11:00:00,30.197,6.0,87,0.0,4.4
2025-11-08 12:00:00,27.992,6.5,86,0.0,2.5
2025-11-08 13:00:00,18.354,6.3,83,0.0,3.1
2025-11-08 14:00:00,16.244,6.5,83,0.0,5.3
2025-11-08 15:00:00,19.387,6.2,86,0.0,7.6
2025-11-08 16:00:00,19.093,5.4,88,0.0,6.7
2025-11-08 17:00:00,19.615,4.7,93,0.0,3.3
2025-11-08 18:00:00,19.541,4.4,93,0.0,2.3
2025-11-08 19:00:00,22.578,4.5,87,0.0,6.0
2025-11-08 22:00:00,19.468,4.5,85,0.0,7.5
2025-11-08 23:00:00,18.841,4.2,87,0.0,6.5
2025-11-09 00:00:00,18.801,4.2,87,0.0,7.5
2025-11-09 01:00:00,16.652,4.2,89,0.0,7.2
2025-11-09 02:00:00,17.074,4.3,87,0.0,7.5
2025-11-09 03:00:00,19.091,4.1,89,0.3,7.2
2025-11-09 04:00:00,14.274,3.8,96,1.3,10.0
2025-11-09 05:00:00,10.216,4.0,94,0.1,10.5
2025-11-09 06:00:00,10.232,4.0,95,0.0,8.7
2025-11-09 07:00:00,10.286,4.2,96,0.0,7.7
2025-11-09 08:00:00,10.985,4.6,96,0.0,7.1
2025-11-09 09:00:00,11.952,5.3,94,0.0,6.7
2025-11-09 10:00:00,12.562,6.1,91,0.0,8.9
2025-11-09 11:00:00,14.065,6.5,90,0.0,9.4
2025-11-09 12:00:00,14.509,6.9,88,0.1,9.7
2025-11-09 13:00:00,12.402,6.9,89,0.0,8.9
2025-11-09 14:00:00,15.42,7.0,89,0.0,9.2
2025-11-09 15:00:00,17.834,6.8,91,0.0,9.0
2025-11-09 16:00:00,23.438,6.5,93,0.1,7.0
2025-11-09 17:00:00,19.525,6.3,95,0.1,7.1
2025-11-09 18:00:00,16.538,6.4,96,0.0,8.0
2025-11-09 19:00:00,18.258,6.6,99,0.4,7.8
2025-11-09 20:00:00,8.718,6.6,99,0.6,7.8
2025-11-09 22:00:00,28.177,6.3,100,0.0,8.4
2025-11-09 23:00:00,26.288,6.3,99,0.0,9.5
2025-11-10 00:00:00,22.321,6.3,98,0.0,10.6
2025-11-10 01:00:00,16.706,6.4,99,0.0,9.7
2025-11-10 02:00:00,15.876,6.3,99,0.0,9.3
2025-11-10 03:00:00,17.129,6.5,99,0.0,9.5
2025-11-10 04:00:00,13.688,6.6,98,0.0,9.8
2025-11-10 05:00:00,11.979,6.5,99,0.0,10.2
2025-11-10 06:00:00,10.914,6.3,100,0.2,9.7
2025-11-10 07:00:00,12.697,6.5,100,0.2,9.5
2025-11-10 08:00:00,16.229,6.8,99,0.3,9.3
2025-11-10 09:00:00,17.462,6.9,99,0.0,11.8
2025-11-10 10:00:00,22.324,7.0,99,0.0,11.3
2025-11-10 11:00:00,20.581,7.2,97,0.0,11.3
2025-11-10 12:00:00,20.73,7.9,89,0.0,9.7
2025-11-10 13:00:00,15.684,8.4,91,0.0,6.9
2025-11-10 14:00:00,16.724,8.9,87,0.0,6.7
2025-11-10 15:00:00,18.145,8.9,85,0.0,7.0
2025-11-10 16:00:00,16.917,7.8,92,0.0,4.3
2025-11-10 17:00:00,20.158,6.2,94,0.0,4.5
2025-11-10 18:00:00,22.396,5.3,95,0.0,4.8
2025-11-10 19:00:00,25.125,5.4,96,0.0,5.0
2025-11-10 20:00:00,30.558,4.7,96,0.0,5.9
2025-11-10 21:00:00,29.934,4.7,96,0.0,8.6
2025-11-10 22:00:00,28.326,4.8,94,0.0,10.3
2025-11-10 23:00:00,33.02,4.8,95,0.0,10.7
2025-11-11 00:00:00,27.502,5.0,95,0.0,12.5
2025-11-11 01:00:00,25.973,4.6,94,0.0,14.4
2025-11-11 02:00:00,25.766,4.8,95,0.0,13.8
2025-11-11 03:00:00,24.141,5.8,95,0.0,12.5
2025-11-11 04:00:00,15.81,6.1,94,0.0,15.0
2025-11-11 05:00:00,13.34,5.8,95,0.0,15.6
2025-11-11 06:00:00,12.851,5.7,94,0.0,16.5
2025-11-11 07:00:00,11.569,5.7,95,0.1,16.6
2025-11-11 08:00:00,14.161,6.3,94,0.5,17.5
2025-11-11 09:00:00,12.068,7.1,93,0.0,16.9
2025-11-11 10:00:00,17.894,7.6,91,0.0,19.5
2025-11-11 15:00:00,4.364,9.5,75,0.0,14.2
2025-11-11 16:00:00,4.34,8.6,78,0.0,11.1
2025-11-11 17:00:00,12.739,7.1,85,0.0,10.8
2025-11-11 18:00:00,16.143,6.7,86,0.0,12.7
2025-11-11 19:00:00,12.765,6.7,88,0.0,10.7
2025-11-11 20:00:00,15.028,6.4,90,0.0,12.2
2025-11-11 22:00:00,20.227,5.9,90,0.0,9.9
2025-11-11 23:00:00,20.594,5.8,90,0.0,10.1
2025-11-12 00:00:00,19.444,5.8,90,0.0,10.4
2025-11-12 01:00:00,17.473,5.2,89,0.0,9.9
2025-11-12 02:00:00,18.697,4.8,90,0.0,9.6
2025-11-12 03:00:00,20.115,4.2,90,0.0,8.5
2025-11-12 04:00:00,13.43,4.3,90,0.0,10.6
2025-11-12 05:00:00,7.72,4.3,90,0.0,10.8
2025-11-12 06:00:00,11.54,4.0,91,0.0,10.8
2025-11-12 07:00:00,11.289,3.9,92,0.0,12.5
2025-11-12 08:00:00,16.702,4.7,92,0.0,13.1
2025-11-12 09:00:00,28.314,6.8,87,0.0,13.3
2025-11-12 11:00:00,23.715,11.2,74,0.0,11.2
2025-11-12 12:00:00,16.839,12.1,72,0.0,11.0
2025-11-12 13:00:00,19.605,13.4,65,0.0,9.7
2025-11-12 19:00:00,19.18,8.9,71,0.0,13.9
2025-11-12 20:00:00,22.239,9.2,67,0.0,15.7
2025-11-12 21:00:00,20.067,9.9,62,0.0,16.0
2025-11-12 22:00:00,14.196,10.4,57,0.0,16.9
2025-11-12 23:00:00,12.335,10.5,55,0.0,17.5
2025-11-13 00:00:00,15.538,10.6,54,0.0,18.1
2025-11-13 01:00:00,12.302,10.4,55,0.0,18.0
2025-11-13 02:00:00,10.202,10.9,54,0.0,19.6
2025-11-13 03:00:00,7.16,10.7,56,0.0,17.8
2025-11-13 04:00:00,4.338,10.4,58,0.0,16.9
2025-11-13 05:00:00,6.587,10.4,57,0.0,17.1
2025-11-13 07:00:00,7.094,11.1,54,0.0,14.8
2025-11-13 08:00:00,14.994,12.1,52,0.0,17.9
2025-11-13 09:00:00,23.872,13.8,51,0.0,19.2
2025-11-13 10:00:00,30.5,15.6,49,0.0,19.7
2025-11-13 11:00:00,23.319,17.0,46,0.0,19.9
2025-11-13 12:00:00,17.796,17.5,45,0.0,19.7
2025-11-13 13:00:00,19.085,17.1,45,0.0,18.4
2025-11-13 14:00:00,14.283,16.2,45,0.0,22.2
2025-11-13 15:00:00,24.5,15.1,49,0.0,21.7
2025-11-13 16:00:00,16.552,14.1,54,0.0,19.1
2025-11-13 17:00:00,17.214,13.4,53,0.0,20.5
2025-11-13 18:00:00,21.27,12.9,53,0.0,19.8
2025-11-13 19:00:00,17.649,12.8,55,0.0,18.6
2025-11-13 20:00:00,5.682,13.2,53,0.0,19.3
2025-11-13 22:00:00,14.299,12.8,56,0.0,17.2
2025-11-13 23:00:00,15.065,12.6,57,0.0,14.2
2025-11-14 01:00:00,9.063,12.0,57,0.0,13.6
2025-11-14 02:00:00,10.615,12.1,57,0.0,12.2
2025-11-14 03:00:00,15.172,13.1,52,0.0,16.3
2025-11-14 06:00:00,8.719,11.2,56,0.0,8.6
2025-11-14 07:00:00,7.686,12.4,53,0.0,12.6
2025-11-14 08:00:00,17.601,13.9,48,0.0,13.9
2025-11-14 09:00:00,23.003,13.8,52,0.0,10.5
2025-11-14 10:00:00,34.868,14.8,53,0.0,9.2
2025-11-14 12:00:00,35.957,17.8,39,0.0,16.5
2025-11-14 13:00:00,33.978,16.9,41,0.0,16.7
2025-11-14 15:00:00,23.371,15.6,41,0.0,17.9
2025-11-14 17:00:00,36.703,13.2,46,0.0,17.5
2025-11-14 18:00:00,25.88,12.9,47,0.0,16.9
2025-11-14 19:00:00,23.762,12.8,50,0.0,15.1
2025-11-14 20:00:00,22.62,12.3,52,0.0,12.3
2025-11-14 22:00:00,21.319,10.3,60,0.0,9.5
2025-11-14 23:00:00,24.311,10.2,60,0.0,7.0
2025-11-15 00:00:00,26.533,10.8,59,0.0,7.0
2025-11-15 01:00:00,29.394,10.8,63,0.0,5.8
2025-11-15 02:00:00,23.991,10.3,65,0.0,5.2
2025-11-15 03:00:00,23.409,10.5,66,0.0,5.3
2025-11-15 04:00:00,22.707,9.4,73,0.0,7.0
2025-11-15 05:00:00,19.169,9.4,77,0.1,1.9
2025-11-15 06:00:00,16.625,8.5,82,0.0,0.9
2025-11-15 08:00:00,17.021,7.3,91,0.0,6.5
2025-11-15 09:00:00,14.567,7.9,90,0.0,8.8
2025-11-15 10:00:00,9.306,8.6,85,0.0,8.2
2025-11-15 11:00:00,12.451,9.1,83,0.0,5.3
2025-11-15 12:00:00,12.877,9.4,82,0.0,6.4
2025-11-15 13:00:00,21.102,10.9,79,0.0,7.2
2025-11-15 14:00:00,19.387,10.4,83,0.0,6.7
2025-11-15 15:00:00,19.873,9.7,84,0.0,5.5
2025-11-15 16:00:00,17.612,9.1,88,0.1,3.8
2025-11-15 17:00:00,20.232,9.2,88,0.2,7.8
2025-11-15 18:00:00,28.587,8.8,93,0.3,9.8
2025-11-15 19:00:00,24.389,9.1,94,0.7,9.3
2025-11-15 20:00:00,27.077,8.6,96,0.1,3.3
2025-11-15 22:00:00,25.128,7.6,99,1.4,3.9
2025-11-15 23:00:00,28.091,7.4,99,0.4,5.5
2025-11-16 00:00:00,15.003,7.8,98,0.1,9.7
2025-11-16 01:00:00,17.987,6.6,99,0.1,5.8
2025-11-16 02:00:00,22.817,6.2,99,0.2,8.1
2025-11-16 04:00:00,25.265,6.7,93,0.0,12.7
2025-11-16 05:00:00,24.159,6.8,89,0.0,13.7
2025-11-16 11:00:00,23.833,11.5,77,0.0,14.6
2025-11-16 12:00:00,18.348,12.1,74,0.0,15.5
2025-11-16 13:00:00,11.292,12.1,72,0.0,14.8
2025-11-16 15:00:00,11.527,11.4,75,0.0,13.1
2025-11-16 22:00:00,13.315,7.1,95,0.1,10.4
2025-11-16 23:00:00,12.572,6.2,100,0.1,10.1
2025-11-17 00:00:00,8.268,5.2,97,0.1,9.4
2025-11-17 01:00:00,11.043,4.3,98,0.0,12.0
2025-11-17 02:00:00,1.827,4.2,98,0.5,10.3
2025-11-17 03:00:00,1.836,3.8,98,0.9,9.5
2025-11-17 04:00:00,1.84,3.4,98,0.7,11.0
2025-11-17 05:00:00,1.848,2.7,99,1.0,12.0
2025-11-17 06:00:00,1.87,1.9,100,0.8,8.9
2025-11-17 07:00:00,1.876,1.5,93,0.3,5.6
2025-11-17 08:00:00,3.883,1.6,91,0.1,6.5
2025-11-17 09:00:00,6.034,1.9,92,0.0,7.3
2025-11-17 10:00:00,12.648,2.6,86,0.0,11.0
2025-11-17 11:00:00,10.101,3.0,85,0.0,14.2
2025-11-17 12:00:00,10.775,3.3,84,0.0,13.6
2025-11-17 13:00:00,12.424,2.9,92,0.0,15.0
2025-11-17 14:00:00,14.769,1.6,100,0.8,15.6
2025-11-17 15:00:00,7.56,1.6,100,0.7,15.9
2025-11-17 16:00:00,6.255,1.5,100,0.5,13.9
2025-11-17 17:00:00,9.77,0.9,100,1.0,12.8
2025-11-17 18:00:00,1.892,0.9,100,0.6,11.8
2025-11-17 20:00:00,4.953,0.6,100,0.0,14.9
2025-11-17 21:00:00,7.19,0.6,100,0.0,13.6
2025-11-17 23:00:00,5.351,0.2,99,0.0,15.6
2025-11-18 00:00:00,4.451,0.0,99,0.0,14.4
2025-11-18 01:00:00,7.494,-0.1,98,0.0,14.2
2025-11-18 02:00:00,5.923,-0.3,98,0.0,14.8
2025-11-18 03:00:00,7.992,-0.6,99,0.0,15.5
2025-11-18 04:00:00,7.966,-0.9,98,0.0,15.9
2025-11-18 05:00:00,9.181,-1.2,95,0.0,15.2
2025-11-18 06:00:00,11.213,-1.5,92,0.0,15.0
2025-11-18 07:00:00,8.964,-1.5,90,0.0,16.2
2025-11-18 08:00:00,1.936,-1.4,90,0.0,16.7
2025-11-18 09:00:00,7.705,-0.2,89,0.0,17.7
2025-11-18 10:00:00,8.018,1.3,83,0.0,18.5
2025-11-18 11:00:00,10.032,2.1,80,0.0,17.6
2025-11-18 12:00:00,15.21,2.8,76,0.0,17.7
2025-11-18 13:00:00,16.908,2.2,80,0.0,18.3
2025-11-18 14:00:00,20.596,2.2,80,0.0,18.5
2025-11-18 15:00:00,22.28,1.8,83,0.0,16.6
2025-11-18 17:00:00,19.749,0.1,89,0.0,14.7
2025-11-18 18:00:00,18.911,-0.4,89,0.0,14.9
2025-11-18 19:00:00,24.65,0.0,89,0.0,15.3
2025-11-18 20:00:00,19.507,-0.4,89,0.0,14.9
2025-11-18 22:00:00,16.987,-1.1,86,0.0,15.8
2025-11-18 23:00:00,12.694,-1.0,82,0.0,16.5
2025-11-19 00:00:00,15.249,-0.7,77,0.0,16.9
2025-11-19 01:00:00,12.766,-0.4,76,0.0,16.7
2025-11-19 02:00:00,13.682,-0.6,76,0.0,17.5
2025-11-19 03:00:00,10.257,-0.6,78,0.0,18.9
2025-11-19 04:00:00,7.173,-0.9,81,0.0,18.6
2025-11-19 05:00:00,7.495,-1.4,82,0.0,17.0
2025-11-19 06:00:00,10.653,-1.6,83,0.0,16.1
2025-11-19 07:00:00,13.094,-1.5,84,0.0,14.5
2025-11-19 08:00:00,11.174,-1.5,86,0.0,15.4
2025-11-19 09:00:00,16.843,0.0,82,0.0,18.5
2025-11-19 10:00:00,13.739,1.2,79,0.0,20.3
2025-11-19 12:00:00,16.258,3.3,69,0.0,15.5
2025-11-19 13:00:00,13.94,3.7,70,0.0,12.0
2025-11-19 14:00:00,12.519,3.8,70,0.0,14.6
2025-11-19 15:00:00,14.172,3.5,67,0.0,14.3
2025-11-19 16:00:00,8.119,2.4,68,0.0,12.0
2025-11-19 17:00:00,7.617,1.6,70,0.0,13.7
2025-11-19 18:00:00,10.708,1.2,70,0.0,17.2
2025-11-19 19:00:00,10.756,0.9,71,0.0,14.0
2025-11-19 20:00:00,13.876,0.8,70,0.0,13.3
2025-11-19 21:00:00,11.514,0.1,71,0.0,11.7
2025-11-19 22:00:00,11.822,-0.1,71,0.0,14.8
2025-11-19 23:00:00,12.772,-0.1,69,0.0,16.8
2025-11-20 00:00:00,9.065,0.2,68,0.1,14.9
2025-11-20 01:00:00,12.786,0.2,70,0.0,12.4
2025-11-20 02:00:00,10.679,0.3,75,0.2,14.4
2025-11-20 03:00:00,9.625,0.6,73,0.0,15.7
